community_name,district,sub_district,total_price,unit_price,floor_area,layout,rooms,halls,floor,total_floors,orientation,decoration,construction_year,building_age,near_subway,listing_time,listing_link,floor_type,decoration_level,floor_type_encoded,orientation_south,district_Binjiang,district_Fuyang,district_Gongshu,district_Jianggan,district_Linan,district_Linping,district_Qiantang,district_Shangcheng,district_Xiacheng,district_Xiaoshan,district_Xihu,district_Yuhang,floor_ratio,price_per_room,area_per_room,age_category,area_category,price_category
Qingbo Mansion,Jianggan,Central,268.7,27993.0,96.0,2BR 1LR,2,1,High Floor,6.0,West,Simple,2000.0,26.0,0,58 days ago,https://hz.lianjia.com/ershoufang/100000000.html,High Floor,1,2,0,False,False,False,True,False,False,False,False,False,False,False,False,0.75,134.35,48.0,20-30yr,90-120sqm,2-3M
Jinmao Plaza,Binjiang,Puyan,251.6,51442.0,48.9,3BR 2LR,3,2,Low Floor,11.0,North-South,Medium,2019.0,7.0,1,64 days ago,https://hz.lianjia.com/ershoufang/100000001.html,Low Floor,2,0,1,True,False,False,False,False,False,False,False,False,False,False,False,0.25,83.86666666666666,16.3,5-10yr,<50sqm,2-3M
Yango World,Binjiang,Puyan,536.8,47587.0,112.8,3BR 1LR,3,1,Low Floor,6.0,South,Fine,2025.0,1.0,1,81 days ago,https://hz.lianjia.com/ershoufang/100000002.html,Low Floor,3,0,1,True,False,False,False,False,False,False,False,False,False,False,False,0.25,178.9333333333333,37.6,0-5yr,90-120sqm,>5M
Greentown New Village,Gongshu,Shangtang,284.1,53194.0,53.4,3BR 2LR,3,2,Low Floor,25.0,Northwest,Fine,2002.0,24.0,0,95 days ago,https://hz.lianjia.com/ershoufang/100000003.html,Low Floor,3,0,0,False,False,True,False,False,False,False,False,False,False,False,False,0.25,94.7,17.8,20-30yr,50-70sqm,2-3M
Jinmao World,Qiantang,Xiasha,224.3,27190.0,82.5,3BR 1LR,3,1,Low Floor,18.0,North-South,Simple,2015.0,11.0,1,9 days ago,https://hz.lianjia.com/ershoufang/100000004.html,Low Floor,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,0.25,74.76666666666667,27.5,10-15yr,70-90sqm,2-3M
Sunac Homeland,Yuhang,Xianlin,289.3,25695.0,112.6,3BR 2LR,3,2,Low Floor,32.0,North-South,Simple,2011.0,15.0,1,48 days ago,https://hz.lianjia.com/ershoufang/100000005.html,Low Floor,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,0.25,96.43333333333334,37.53333333333333,10-15yr,90-120sqm,2-3M
Fuxing Center,Jianggan,Central,581.0,48910.0,118.8,3BR 2LR,3,2,High Floor,18.0,West,Fine,2009.0,17.0,1,27 days ago,https://hz.lianjia.com/ershoufang/100000006.html,High Floor,3,2,0,False,False,False,True,False,False,False,False,False,False,False,False,0.75,193.66666666666666,39.6,15-20yr,90-120sqm,>5M
Longfor Bay,Binjiang,Puyan,200.7,24473.0,82.0,1BR 1LR,1,1,Middle Floor,6.0,North-South,Fine,2015.0,11.0,0,171 days ago,https://hz.lianjia.com/ershoufang/100000007.html,Middle Floor,3,1,1,True,False,False,False,False,False,False,False,False,False,False,False,0.5,200.7,82.0,10-15yr,70-90sqm,2-3M
Desheng Plaza,Xihu,Zhuantang,505.8,52036.0,97.2,3BR 2LR,3,2,Low Floor,18.0,North-South,Simple,2006.0,20.0,0,92 days ago,https://hz.lianjia.com/ershoufang/100000008.html,Low Floor,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,0.25,168.6,32.4,15-20yr,90-120sqm,>5M
Hubin Homeland,Jianggan,Central,375.5,46070.0,81.5,3BR 2LR,3,2,Middle Floor,6.0,North-South,Simple,2009.0,17.0,0,51 days ago,https://hz.lianjia.com/ershoufang/100000009.html,Middle Floor,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,0.5,125.16666666666667,27.166666666666668,15-20yr,70-90sqm,3-4M
Vanke Garden,Gongshu,Kangqiao,255.2,35339.0,72.2,2BR 1LR,2,1,Low Floor,7.0,South,Fine,2025.0,1.0,1,81 days ago,https://hz.lianjia.com/ershoufang/100000010.html,Low Floor,3,0,1,False,False,True,False,False,False,False,False,False,False,False,False,0.25,127.6,36.1,0-5yr,70-90sqm,2-3M
Ziyang Place,Gongshu,Banshan,455.7,54637.0,83.4,1BR 1LR,1,1,Middle Floor,18.0,Southwest,Fine,2008.0,18.0,1,123 days ago,https://hz.lianjia.com/ershoufang/100000011.html,Middle Floor,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,0.5,455.7,83.4,15-20yr,70-90sqm,4-5M
Vanke City,Xihu,Wenxin,560.9,47941.0,117.0,5BR 3LR,5,3,Low Floor,32.0,North-South,Fine,1999.0,27.0,0,147 days ago,https://hz.lianjia.com/ershoufang/100000012.html,Low Floor,3,0,1,False,False,False,False,False,False,False,False,False,False,True,False,0.25,112.17999999999999,23.4,20-30yr,90-120sqm,>5M
Merchants Complex,Yuhang,Cangqian,227.4,26884.0,84.6,1BR 1LR,1,1,Middle Floor,33.0,North-South,Fine,2010.0,16.0,1,151 days ago,https://hz.lianjia.com/ershoufang/100000013.html,Middle Floor,3,1,1,False,False,False,False,False,False,False,False,False,False,False,True,0.5,227.4,84.6,15-20yr,70-90sqm,2-3M
